neighbourhood,id,latitude,longitude,type,price
Alamo Square,8339,37.77524859,-122.4363737,House,550.00
Alamo Square,201579,37.77755722,-122.4332635,Apartment,295.00
Alamo Square,8777964,37.77547047,-122.4363072,House,200.00
Alamo Square,13349040,37.77418721,-122.4327952,Apartment,112.00
Alamo Square,10812992,37.77464717,-122.4348185,Apartment,200.00
Alamo Square,228922,37.77803996,-122.4368425,Condominium,500.00
Alamo Square,7716327,37.77421341,-122.4328729,Apartment,150.00
Alamo Square,17776449,37.77844609,-122.4316584,Apartment,75.00
Alamo Square,2047084,37.77673347,-122.432367,Apartment,195.00
Alamo Square,660742,37.77846712,-122.4322356,Apartment,175.00
Alamo Square,15645051,37.77775831,-122.4345174,Apartment,200.00
Alamo Square,3586422,37.77340775,-122.4361248,Apartment,90.00
Alamo Square,7043404,37.77674298,-122.4369367,Apartment,150.00
Alamo Square,11681475,37.77665796,-122.4342487,House,70.00
Alamo Square,1767569,37.77831882,-122.4307888,Apartment,200.00
Alamo Square,2209751,37.77341637,-122.4356615,House,125.00
Alamo Square,1489782,37.77736076,-122.4361,Apartment,300.00
Alamo Square,11434840,37.77872717,-122.4364317,Townhouse,100.00
Alamo Square,8172628,37.7785598,-122.4363252,Apartment,140.00
Alamo Square,998032,37.77649831,-122.4304977,Apartment,500.00
Alamo Square,8353194,37.77852042,-122.4370481,House,"7,500.00"
Alamo Square,440139,37.77454033,-122.4304054,Apartment,175.00
Alamo Square,17332508,37.77825582,-122.4340793,House,73.00
Alamo Square,12170073,37.77439853,-122.4345947,Apartment,170.00
Alamo Square,7884670,37.77639157,-122.4306171,Apartment,80.00
Alamo Square,14535504,37.77454686,-122.435855,Apartment,200.00
Alamo Square,4100473,37.77649156,-122.4367225,Apartment,150.00
Alamo Square,17805191,37.77604718,-122.4378858,Apartment,110.00
Alamo Square,10833633,37.77830401,-122.4377814,Apartment,550.00
Alamo Square,3591813,37.77445487,-122.4372908,Apartment,300.00
Alamo Square,12472335,37.7747928,-122.4312003,Apartment,85.00
Alamo Square,9047210,37.77476539,-122.43718,Apartment,100.00
Alamo Square,2066449,37.77641006,-122.4312633,Apartment,300.00
Alamo Square,6401914,37.77660975,-122.4357627,Apartment,225.00
Alamo Square,9826167,37.77552879,-122.4330171,House,58.00
Alamo Square,808919,37.77699843,-122.4368067,Apartment,110.00
Alamo Square,7761377,37.77505009,-122.4297866,Apartment,700.00
Alamo Square,7351420,37.77385449,-122.4328288,Apartment,139.00
Alamo Square,1460174,37.77895073,-122.4363379,Apartment,480.00
Alamo Square,17718432,37.77433336,-122.4309546,Apartment,95.00
Alamo Square,10808224,37.77751113,-122.4378645,Condominium,195.00
Alamo Square,7072662,37.77519905,-122.4376538,Apartment,132.00
Alamo Square,715504,37.77770151,-122.4355897,House,80.00
Alamo Square,8908059,37.77453243,-122.4360044,Apartment,165.00
Alamo Square,7597291,37.77460666,-122.4346148,Apartment,180.00
Alamo Square,10839934,37.77464384,-122.4326341,Apartment,160.00
Alamo Square,15872552,37.7785836,-122.4318277,House,62.00
Alamo Square,7956253,37.77797617,-122.4337226,Apartment,175.00
Alamo Square,1084371,37.77533165,-122.4306429,Apartment,325.00
Alamo Square,731591,37.77504385,-122.4329466,Apartment,70.00
Alamo Square,4810969,37.7752298,-122.4313234,Apartment,160.00
Alamo Square,5309235,37.77441809,-122.4347858,Apartment,90.00
Alamo Square,26408,37.77477848,-122.4314987,Apartment,350.00
Alamo Square,13936968,37.77832194,-122.4328293,Condominium,249.00
Alamo Square,13379868,37.77511782,-122.4304518,Apartment,350.00
Alamo Square,845502,37.77444138,-122.4367246,House,550.00
Alamo Square,1467522,37.77519232,-122.4358972,Apartment,237.00
Alamo Square,7693322,37.77556314,-122.4345933,Apartment,275.00
Alamo Square,1696666,37.77721896,-122.4365559,Apartment,650.00
Alamo Square,10970650,37.77734813,-122.4320502,Apartment,"1,700.00"
Alamo Square,7950588,37.77524908,-122.431035,Condominium,120.00
Alamo Square,844640,37.77860792,-122.4331717,House,85.00
Alamo Square,13788749,37.77796187,-122.4318567,House,75.00
Alamo Square,9904455,37.775276,-122.4371776,Townhouse,89.00
Alamo Square,1499238,37.77532589,-122.4314944,Apartment,220.00
Alamo Square,10787814,37.77751124,-122.4364984,Apartment,145.00
Alamo Square,3317591,37.77565942,-122.4331297,Apartment,125.00
Alamo Square,9402993,37.77861563,-122.432209,Apartment,550.00
Alamo Square,7759829,37.77444087,-122.4359402,Apartment,149.00
Alamo Square,11918849,37.77866353,-122.431357,Apartment,500.00
Alamo Square,2333561,37.77389222,-122.432689,Apartment,139.00
Alamo Square,1336998,37.7777868,-122.4377545,Apartment,90.00
Alamo Square,72365,37.77518125,-122.4333409,Apartment,122.00
Alamo Square,9346869,37.7747944,-122.4346799,Apartment,145.00
Alamo Square,8701226,37.77715811,-122.4376775,Apartment,"3,000.00"
Alamo Square,8037572,37.77460246,-122.4299099,Apartment,88.00
Alamo Square,5250150,37.77883519,-122.4347927,Apartment,166.00
Alamo Square,12212013,37.77617516,-122.4321708,Apartment,150.00
Alamo Square,17717732,37.77750924,-122.436477,Apartment,100.00
Alamo Square,15898724,37.77859081,-122.4327808,House,75.00
Alamo Square,17585561,37.77714403,-122.4319177,House,70.00
Alamo Square,9636960,37.77458729,-122.434226,House,325.00
Alamo Square,7198666,37.77790723,-122.4302422,Apartment,99.00
Alamo Square,8386933,37.77619914,-122.4301414,House,150.00
Alamo Square,10918057,37.77620645,-122.4336825,Condominium,630.00
Alamo Square,6747905,37.77562059,-122.4308328,Condominium,380.00
Alamo Square,8126890,37.77730896,-122.4312345,Apartment,395.00
Alamo Square,9261535,37.77636114,-122.4371529,Apartment,200.00
Alamo Square,11998353,37.77778546,-122.4320684,Apartment,100.00
Alamo Square,1198359,37.77484657,-122.4307863,Apartment,199.00
Alamo Square,10996579,37.77761786,-122.4342173,Apartment,143.00
Alamo Square,1070037,37.77863571,-122.435607,Apartment,440.00
Alamo Square,1886260,37.77646509,-122.4309604,Loft,300.00
Alamo Square,16910596,37.77726058,-122.429964,Apartment,120.00
Alamo Square,11674311,37.77630543,-122.4342154,Apartment,133.00
Alamo Square,5852066,37.77709667,-122.4376264,House,125.00
Alamo Square,12274606,37.77637392,-122.4328645,House,60.00
Alamo Square,939407,37.77739804,-122.4325189,Apartment,800.00
Alamo Square,3769585,37.77449648,-122.4359179,Apartment,145.00
Alamo Square,2507021,37.77626813,-122.4318849,Apartment,130.00
Alamo Square,15287084,37.77366898,-122.4356387,Apartment,60.00
Alamo Square,7111375,37.77522259,-122.4308108,Townhouse,160.00
Alamo Square,8624957,37.77674245,-122.4354671,Apartment,200.00
Alamo Square,25463,37.77728949,-122.4342115,House,110.00
Alamo Square,1180103,37.77537203,-122.43139,Apartment,275.00
Balboa Terrace,7074753,37.73826776,-122.4623841,House,600.00
Balboa Terrace,16675371,37.72839788,-122.4589381,Apartment,115.00
Balboa Terrace,2126868,37.7337658,-122.4642904,House,59.00
Balboa Terrace,14774613,37.72548701,-122.4582692,House,200.00
Balboa Terrace,7581918,37.72866798,-122.4649568,Apartment,140.00
Balboa Terrace,1110746,37.73681515,-122.461664,House,728.00
Balboa Terrace,4873669,37.73007031,-122.4640665,Apartment,168.00
Balboa Terrace,1641060,37.73931556,-122.4621113,Apartment,225.00
Balboa Terrace,9346930,37.72876534,-122.4614265,Apartment,95.00
