neighbourhood,min_lat,max_lat,min_long,max_long
Alamo Square,37.77340775,37.77895073,-122.4378858,-122.4297866
Balboa Terrace,37.72398069,37.73941168,-122.4686154,-122.453476
Bayview,37.70973156,37.74514031,-122.4048752,-122.3687332
Bernal Heights,37.73197892,37.75753408,-122.4318405,-122.4042121
Chinatown,37.79051138,37.79938684,-122.4101676,-122.404808
Civic Center,37.77473575,37.78307945,-122.4323784,-122.4141039
Cole Valley,37.75988403,37.76875414,-122.4574782,-122.4464536
Cow Hollow,37.79637726,37.80094061,-122.4470677,-122.4245026
Crocker Amazon,37.70827791,37.71868622,-122.465725,-122.424007
Daly City,37.70692769,37.70839705,-122.4628806,-122.4275864
Diamond Heights,37.74043304,37.74764153,-122.4453205,-122.4355073
Dogpatch,37.75144619,37.76409726,-122.3919632,-122.3870892
Downtown,37.78587708,37.79081328,-122.4219388,-122.4091569
Duboce Triangle,37.76283331,37.77192524,-122.4362491,-122.4240929
Excelsior,37.71518204,37.73152154,-122.4383218,-122.4181395
Financial District,37.78857405,37.79798835,-122.4208748,-122.397013
Fisherman's Wharf,37.8046473,37.80921819,-122.4240575,-122.4097485
Forest Hill,37.74082457,37.74854756,-122.4628432,-122.4525674
Glen Park,37.73153554,37.74268028,-122.4445356,-122.4252138
Haight-Ashbury,37.7624893,37.7727162,-122.4535283,-122.4360132
Hayes Valley,37.77178456,37.7779462,-122.4310261,-122.4197822
Ingleside,37.71718216,37.72914722,-122.4718063,-122.4487295
Inner Sunset,37.738097,37.76570781,-122.4767088,-122.4551413
Japantown,37.7848705,37.78696737,-122.4331008,-122.4288507
Lakeshore,37.71261817,37.73412038,-122.4984808,-122.4730315
Lower Haight,37.7690727,37.77418856,-122.4401527,-122.42713
Marina,37.79907433,37.80756132,-122.4480202,-122.4254199
Mission Bay,37.76866538,37.77622023,-122.3998464,-122.387754
Mission District,37.74816821,37.77142456,-122.4306293,-122.4034303
Mission Terrace,37.719937,37.73214395,-122.4441561,-122.4303575
Nob Hill,37.78861551,37.79709452,-122.4225681,-122.4073921
Noe Valley,37.74050358,37.75477117,-122.4438336,-122.4227148
North Beach,37.79722941,37.8054954,-122.4153648,-122.4094002
Oceanview,37.70933523,37.72090819,-122.4711402,-122.4526949
Outer Sunset,37.73435987,37.76509521,-122.5092201,-122.4768016
Pacific Heights,37.78778828,37.79830095,-122.4473165,-122.4230383
Parkside,37.73802471,37.74832572,-122.4930764,-122.4712679
Portola,37.72100328,37.73219477,-122.4187319,-122.4020281
Potrero Hill,37.7496011,37.76885122,-122.4074289,-122.3920084
Presidio,37.78144284,37.81030633,-122.476422,-122.4466628
Richmond District,37.77147877,37.78792334,-122.5115,-122.4474427
Russian Hill,37.79613655,37.80478559,-122.4245349,-122.4147727
Sea Cliff,37.78548686,37.78766423,-122.4931617,-122.4880113
SoMa,37.7698451,37.8301932,-122.4228445,-122.3734268
South Beach,37.77827789,37.79378172,-122.3956442,-122.3884886
Sunnyside,37.72573307,37.74386693,-122.4615844,-122.4381837
Sunset District,37.73862057,37.75893138,-122.5066625,-122.4895633
Telegraph Hill,37.79834682,37.80636679,-122.4090156,-122.4026088
Tenderloin,37.78133099,37.78658904,-122.4209233,-122.4103313
The Castro,37.75419728,37.77438662,-122.4461763,-122.4281231
Twin Peaks,37.74604396,37.76073295,-122.4545052,-122.4415149
Union Square,37.78512751,37.79034469,-122.4446506,-122.4047997
Visitacion Valley,37.70967061,37.71986992,-122.423161,-122.3980894
West Portal,37.73872667,37.74324823,-122.4700364,-122.4593778
Western Addition/NOPA,37.77180947,37.78987747,-122.4539535,-122.4209344
