persons,price
4,550.00
4,295.00
2,200.00
2,112.00
4,200.00
4,500.00
4,150.00
3,75.00
2,195.00
1,175.00
2,200.00
1,90.00
3,150.00
1,70.00
2,200.00 
2,125.00
4,300.00
4,100.00
2,140.00
5,500.00
10,7,500.00
4,175.00
2,73.00
2,170.00
1,80.00
1,200.00
4,150.00
1,110.00
10,550.00
4,300.00
1,85.00
2,100.00
3,300.00
2,225.00
2,58.00
2,110.00
8,700.00
2,139.00
5,480.00
2,95.00
4,195.00
3,132.00
1,80.00
2,165.00
3,180.00
2,160.00
1,62.00
4,175.00
6,325.00
2,70.00
2,160.00
2,90.00
10,350.00
4,249.00
6,350.00
4,550.00
5,237.00
4,275.00
6,650.00
10,1,700.00
1,120.00
2,85.00
2,75.00
2,89.00
3,220.00
2,145.00
1,125.00
8,550.00
2,149.00
6,500.00
2,139.00
2,90.00
8,122.00
2,145.00
2,3,000.00
2,88.00
4,166.00
2,150.00
2,100.00
1,75.00
1,70.00
3,325.00
1,99.00
2,150.00
4,630.00
4,380.00
1,395.00
3,200.00
2,100.00
2,199.00
2,143.00
6,440.00
4,300.00
2,120.00
2,133.00
2,125.00
1,60.00
4,800.00
2,145.00
2,130.00
1,60.00
2,160.00
4,200.00
2,110.00
6,275.00
8,600.00
3,115.00
1,59.00
3,200.00
3,140.00
6,728.00
2,168.00
4,225.00
4,95.00
6,299.00
2,88.00
4,188.00
2,175.00
6,345.00
1,40.00
1,68.00
1,55.00
2,130.00
2,70.00
2,53.00
2,75.00
3,55.00
2,123.00
1,70.00
6,1,150.00
2,83.00
6,220.00
2,39.00
2,129.00
2,125.00
4,125.00
2,100.00
3,120.00
3,120.00
7,220.00
5,450.00
4,150.00
4,195.00
1,115.00
10,1,595.00
4,110.00
2,110.00
2,125.00
2,86.00
2,120.00
4,274.00
2,90.00
10,700.00
2,90.00
2,50.00
2,100.00
9,350.00
2,150.00
1,75.00
2,100.00
2,105.00
2,150.00
6,950.00
4,120.00
2,90.00
3,99.00
1,150.00
1,142.00
1,77.00
4,78.00
2,89.00
6,300.00
4,68.00
6,149.00
2,120.00
16,235.00
2,89.00
3,78.00
2,80.00
2,110.00
4,100.00
4,120.00
5,99.00
2,90.00
3,50.00
2,36.00
2,90.00
4,150.00
2,76.00
4,350.00
6,150.00
1,50.00
1,56.00
3,118.00
3,68.00
8,110.00
3,99.00
4,120.00
8,129.00
3,150.00
2,89.00
8,350.00
2,74.00
10,450.00
2,130.00
4,99.00
2,105.00
3,62.00
7,50.00
6,175.00
2,185.00
2,85.00
1,59.00
2,99.00
6,200.00
5,215.00
5,112.00
2,115.00
2,110.00
2,89.00
3,106.00
2,73.00
4,170.00
3,80.00
1,61.00
4,210.00
2,100.00
2,59.00
2,65.00
5,150.00
5,184.00
2,75.00
3,95.00
2,65.00
4,99.00
8,280.00
2,90.00
2,200.00
1,54.00
2,260.00
3,105.00
4,136.00
6,224.00
2,80.00
3,68.00
2,115.00
4,299.00
4,70.00
3,75.00
3,120.00
4,170.00
2,56.00
4,225.00
6,225.00
2,200.00
2,205.00
3,150.00
3,135.00
2,135.00
5,315.00
2,119.00
2,75.00
3,125.00
5,265.00
2,64.00
4,200.00
2,150.00
4,225.00
6,300.00
2,135.00
2,160.00
1,85.00
2,200.00
2,90.00
2,135.00
8,550.00
2,64.00
4,150.00
2,105.00
2,100.00
2,100.00
2,70.00
3,150.00
4,175.00
2,185.00
4,140.00
2,85.00
3,129.00
6,349.00
2,185.00
6,250.00
8,700.00
6,350.00
2,76.00
3,150.00
2,58.00
4,155.00
2,95.00
6,300.00
4,159.00
2,65.00
2,140.00
2,75.00
3,165.00
4,300.00
3,120.00
2,135.00
2,70.00
5,259.00
6,1,200.00
4,400.00
4,275.00
4,250.00
2,50.00
2,235.00
4,148.00
2,145.00
1,60.00
4,225.00
3,110.00
1,129.00
7,295.00
2,149.00
6,260.00
16,1,050.00
6,249.00
6,347.00
2,150.00
12,800.00
6,300.00
2,100.00
2,79.00
6,450.00
4,200.00
2,90.00
6,188.00
2,125.00
2,170.00
2,135.00
4,160.00
4,195.00
4,220.00
6,245.00
5,167.00
2,88.00
7,195.00
2,75.00
3,180.00
4,225.00
2,120.00
4,135.00
2,84.00
2,118.00
4,125.00
4,238.00
2,90.00
4,158.00
4,145.00
3,196.00
4,1,200.00
6,450.00
5,395.00
3,130.00
7,300.00
4,145.00
2,160.00
4,275.00
4,250.00
6,350.00
5,212.00
1,250.00
8,500.00
2,60.00
2,93.00
2,150.00
2,130.00
4,300.00
3,130.00
4,120.00
2,350.00
3,185.00
2,147.00
2,119.00
2,90.00
6,190.00
2,50.00
3,250.00
2,282.00
5,195.00
2,127.00
2,104.00
6,215.00
3,129.00
2,190.00
4,255.00
8,500.00
7,264.00
2,86.00
3,125.00
2,140.00
6,325.00
3,130.00
2,75.00
